Título,Idioma,Extensión,Colección,link_descarga,link_epub,image_url,enlace_drive_exp
Para mis amigos,Español,Lectura cómoda,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000239905&name=00000001.epub&attachment=Para%20mis%20amigos.epub,https://bdh-rd.bne.es/epub.vm?id=0000239905&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000239905&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1LNvsgz8dAdD_Lo9QuwPWb2ml8RXBdjxl
Ideario español,Español,Lectura cómoda,Filosofía y Psicología,http://bdh-rd.bne.es/high.raw?id=0000260831&name=00000001.epub&attachment=Ideario%20espa%C3%B1ol.epub,https://bdh-rd.bne.es/epub.vm?id=0000260831&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000260831&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1yU89z8wx3-sES9dYC8h8O97AVHR8mrVv
Hombres y mujeres : (cuentos),Español,Lectura cómoda,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000229330&name=00000001.epub&attachment=Hombres%20y%20mujeres%20%3A%20%28cuentos%29.epub,https://bdh-rd.bne.es/epub.vm?id=0000229330&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000229330&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1fSzpIysGNMNW3gsX2vkI5IYnY4m2ckkZ
Vida fantástica : novela,Español,Lectura cómoda,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000229333&name=00000001.epub&attachment=Vida%20fant%C3%A1stica%20%3A%20novela.epub,https://bdh-rd.bne.es/epub.vm?id=0000229333&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000229333&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1UGAni9mynv9AiXf8wbex8qYR_kWCn4YA
La novia del hereje o La inquisición de Lima,Español,Lectura sustanciosa,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000138714&name=00000001.epub&attachment=La%20novia%20del%20hereje%20o%20La%20inquisici%C3%B3n%20de%20Lima.epub,https://bdh-rd.bne.es/epub.vm?id=0000138714&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000138714&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1VSfhTQpmpP8KqSNT1vmlFnqR70AQOptJ
"Jovellanos como cultivador de la historia monografía laureada con el accesit único premio adjudicado sobre aquel tema, en el certamen celebrado en Gijón, en agosto de 1891",Español,Lectura rápida,Biografías,http://bdh-rd.bne.es/high.raw?id=0000067415&name=00000001.epub&attachment=Jovellanos%20como%20cultivador%20de%20la%20historia%20monograf%C3%ADa%20laureada%20con%20el%20accesit%20%C3%BAnico%20premio%20adjudicado%20sobre%20aquel%20tema%2C%20en%20el%20certamen%20celebrado%20en%20Gij%C3%B3n%2C%20en%20agosto%20de%201891.epub,https://bdh-rd.bne.es/epub.vm?id=0000067415&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000067415&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=131jZ2eG0kbHdfotUV8rL2H1QrQbL_I3B
El preso : novela médico-social,Español,Lectura cómoda,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000053914&name=00000001.epub&attachment=El%20preso%20%3A%20novela%20m%C3%A9dico-social.epub,https://bdh-rd.bne.es/epub.vm?id=0000053914&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000053914&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1gvJOv0JNHUMUExCbuN-ePnlvlR6eOduw
"Hombres, hombrecillos y animales",Español,Lectura cómoda,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000192718&name=00000001.epub&attachment=Hombres%2C%20hombrecillos%20y%20animales.epub,https://bdh-rd.bne.es/epub.vm?id=0000192718&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000192718&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=19cE_VB28R3jTuJeZIPvfXoGznHXXNDyE
El luchador : novela,Español,Lectura sustanciosa,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000192673&name=00000001.epub&attachment=El%20luchador%20%3A%20novela.epub,https://bdh-rd.bne.es/epub.vm?id=0000192673&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000192673&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1JsASuPuDQMdzMBq2vw22SMxjnKDj8Ajt
El amigo del sol : (novela),Español,Lectura sustanciosa,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000204380&name=00000001.epub&attachment=El%20amigo%20del%20sol%20%3A%20%28novela%29.epub,https://bdh-rd.bne.es/epub.vm?id=0000204380&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000204380&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1g2h0YBSkhTopZzeQlWcOzKae8Rr9JrAh
Poesias religiosas y morales,Español,Lectura rápida,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000051443&name=00000001.epub&attachment=Poesias%20religiosas%20y%20morales.epub,https://bdh-rd.bne.es/epub.vm?id=0000051443&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000051443&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1X-fFFWVJ1G2f6Rd_sxJIOVhSK3PecD80
Cómo es y cómo debiera ser nuestra educación popular,Español,Lectura exprés,Filosofía y Psicología,http://bdh-rd.bne.es/high.raw?id=0000268923&name=00000001.epub&attachment=C%C3%B3mo%20es%20y%20c%C3%B3mo%20debiera%20ser%20nuestra%20educaci%C3%B3n%20popular.epub,https://bdh-rd.bne.es/epub.vm?id=0000268923&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000268923&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1Mix9pbRU6ygzWnTD2C0YACXwawAXLL2f
Guía espiritual de mi tierra (Alava),Español,Lectura cómoda,Ensayos,http://bdh-rd.bne.es/high.raw?id=0000288700&name=00000001.epub&attachment=Gu%C3%ADa%20espiritual%20de%20mi%20tierra%20%28Alava%29.epub,https://bdh-rd.bne.es/epub.vm?id=0000288700&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000288700&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1QHSzB4A3cxcvhLOQA2mhY1cQqaiG2-sE
Un juego de ajedrez : leyenda árabe-granadina (810-H.- 1408-J.C.),Español,Lectura rápida,Otros,http://bdh-rd.bne.es/high.raw?id=0000085902&name=00000001.epub&attachment=Un%20juego%20de%20ajedrez%20%3A%20leyenda%20%C3%A1rabe-granadina%20%28810-H.-%201408-J.C.%29.epub,https://bdh-rd.bne.es/epub.vm?id=0000085902&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000085902&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1grGNwdaNUVq6oXovUqJkURVc_4hZjuQv
Amalia novela histórica americana,Español,Lectura sustanciosa,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000136767&name=00000001.epub&attachment=Amalia%20novela%20hist%C3%B3rica%20americana.epub,https://bdh-rd.bne.es/epub.vm?id=0000136767&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000136767&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1qLEm6XBLHweDbQ9IeaJN8IBKdchE07Ij
La edad de oro,Español,Lectura cómoda,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000163061&name=00000001.epub&attachment=La%20edad%20de%20oro.epub,https://bdh-rd.bne.es/epub.vm?id=0000163061&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000163061&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1q4Yri-FVue21Vd8VZqTS8PtQ-ZkSv9XE
Invierno en primavera Novela,Español,Lectura cómoda,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000289410&name=00000001.epub&attachment=Invierno%20en%20primavera%20Novela.epub,https://bdh-rd.bne.es/epub.vm?id=0000289410&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000289410&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1KgHEPdDUKXoLM65o4AkrKmUlg5aCbpRa
Mis dos mitades Novela,Español,Lectura cómoda,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000289425&name=00000001.epub&attachment=Mis%20dos%20mitades%20Novela.epub,https://bdh-rd.bne.es/epub.vm?id=0000289425&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000289425&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1IeVKUA0FmEVE8mkVvK4a8jR3HyEcpJ1x
